仕舞い,シマイ
据え置き,スエオキ
工船,コウセン
片っ端,カタッパシ
押込み,オシコミ
円み,マルミ
中ぶた,ナカブタ
オールドファッション,オールドファッション
パラドックス,パラドックス
シカ,シカ
騎士,キシ
雲気,ウンキ
オーキシン,オーキシン
細道,ホソミチ
根粒バクテリア,コンリュウバクテリア
博引旁証,ハクインボウショウ
昼下り,ヒルサガリ
架け橋,カケハシ
八重桜,ヤエザクラ
仕立て,シタテ
討手,ウッテ
パーキング,パーキング
位階,イカイ
逃場,ニゲバ
命数,メイスウ
寝所,ネドコ
寝所,シンジョ
秋まつり,アキマツリ
有給,ユウキュウ
見付け,ミツケ
振替,フリカエ
柾目,マサメ
道場破り,ドウジョウヤブリ
締,シメ
再試,サイシ
原図,ゲンズ
御両人,ゴリョウニン
絵巻,エマキ
需用,ジュヨウ
抜作,ヌケサク
丈比べ,タケクラベ
イカナゴ,イカナゴ
一昨週,イッサクシュウ
イモ,イモ
玄関,ゲンカン
吸瓢,スイフクベ
毒蛾,ドクガ
士君子,シクンシ
部員,ブイン
急難,キュウナン
公葬,コウソウ
御多分,ゴタブン
音大,オンダイ
パラメーター,パラメーター
労基局,ロウキキョク
菜館,サイカン
ヴァラエティー,ヴァラエティー
手無し,テナシ
プーリー,プーリー
酒類,シュルイ
使命,シメイ
同気,ドウキ
サンドイッチマン,サンドイッチマン
半死半生,ハンシハンショウ
桃栗三年柿八年,モモクリサンネンカキハチネン
根茎,コンケイ
赤恥,アカハジ
新報,シンポウ
檀林,ダンリン
石筍,セキジュン
星座,セイザ
フォーマットオーバレイ,フォーマットオーバレイ
ドクガ,ドクガ
国利,コクリ
往信,オウシン
多色刷,タショクズリ
甚句,ジンク
ぐしょ濡れ,グショヌレ
鉄蹄,テッテイ
才略,サイリャク
人斬り庖丁,ヒトキリボウチョウ
竜頭鷁首,リュウトウゲキシュ
竜頭鷁首,リョウトウゲキシュ
跡継ぎ,アトツギ
セクションペーパー,セクションペーパー
妃殿下,ヒデンカ
棒杙,ボウグイ
陰口,カゲグチ
柳葉魚,シシャモ
海戦,カイセン
持ち物,モチモノ
テンジク,テンジク
無芸,ムゲイ
人性,ジンセイ
厚意,コウイ
綿実油,メンジツユ
事務所,ジムショ
慎み,ツツシミ
シングル,シングル
恋うた,コイウタ
水神,スイジン
デザート,デザート
橙,ダイダイ
陶磁器,トウジキ
鶏頭,ケイトウ
高分子,コウブンシ
各線,カクセン
遊民,ユウミン
献詞,ケンシ
勝ち気,カチキ
不便,フベン
ハム,ハム
性癖,セイヘキ
暴虎馮河,ボウコヒョウガ
達弁,タツベン
コック長,コックチョウ
清教徒,セイキョウト
魂魄,コンパク
中次ぎ,ナカツギ
鍔際,ツバギワ
以東,イトウ
弗,ドル
地久節,チキュウセツ
ケープ,ケープ
高土間,タカドマ
出遅れ,デオクレ
均等,キントウ
活性炭,カッセイタン
あいの手,アイノテ
滑子,ナメコ
銀ぶち,ギンブチ
主謀,シュボウ
純愛,ジュンアイ
同学,ドウガク
アメリカン,アメリカン
同音,ドウオン
供人,トモビト
覇権,ハケン
邪魔気,ジャマッケ
ブルジョアジー,ブルジョアジー
熱線,ネッセン
人間わざ,ニンゲンワザ
スカンポ,スカンポ
千両,センリョウ
新雪,シンセツ
珍聞,チンブン
零れ話,コボレバナシ
妙見,ミョウケン
囂囂,ゴウゴウ
麻幹,オガラ
お慰み,オナグサミ
染抜き,シミヌキ
はま,ハマ
双子,フタゴ
バッテリ,バッテリ
各室,カクシツ
ツクシ,ツクシ
実事師,ジツゴトシ
興味津々,キョウミシンシン
和歌集,ワカシュウ
負け犬,マケイヌ
河原ぶろ,カワラ
七福神,シチフクジン
マイクロフィルム,マイクロフィルム
草双紙,クサゾウシ
アナ,アナ
痛烈,ツウレツ
薄幸,ハッコウ
分割払い,ブンカツバライ
向い風,ムカイカゼ
生鮮,セイセン
情意,ジョウイ
マーガリン,マーガリン
約款,ヤッカン
烏天狗,カラステング
顰,ヒソミ
空景気,カラゲイキ
パン,パン
万力,マンリキ
繰入金,クリイレキン
心月,シンゲツ
襤褸,ランル
襤褸,ボロ
パチンコ,パチンコ
バリエテ,バリエテ
士魂商才,シコンショウサイ
わたぼうし,ワタボウシ
水俣病,ミナマタビョウ
難所,ナンショ
尻取り,シリトリ
本邦,ホンポウ
やくほう,ヤクホウ
用具,ヨウグ
一家言,イッカゲン
伊呂波,イロハ
忠魂碑,チュウコンヒ
次位,ジイ
総力,ソウリョク
フリー,フリー
種違い,タネチガイ
書紋,カキモン
ヒシ,ヒシ
如菩薩,ニョボサツ
マイクロプログラミング,マイクロプログラミング
忍辱,ニンニク
附近,フキン
佳辰,カシン
波除け,ナミヨケ
暁天,ギョウテン
肥土,ヒド
県人,ケンジン
窪,クボ
超凡,チョウボン
早天,ソウテン
問い,トイ
手伝い,テツダイ
つきあい,ツキアイ
芋煮,イモニ
旅稼ぎ,タビカセギ
ステンシル,ステンシル
俗本,ゾクホン
わらい物,ワライモノ
下し金,オロシガネ
平熱,ヘイネツ
ドロヤナギ,ドロヤナギ
畜生,チクショウ
天寿,テンジュ
山雀,ヤマガラ
オーナー,オーナー
誠心,セイシン
花傘,ハナガサ
過程,カテイ
隊員,タイイン
巻鮨,マキズシ
しょう,ショウ
ステッキガール,ステッキガール
暖地,ダンチ
独擅場,ドクセンジョウ
主用,シュヨウ
あばずれ,アバズレ
三陸,サンリク
ミンククジラ,ミンククジラ
山姥,ヤマウバ
山姥,ヤマンバ
葉腋,ヨウエキ
雪景,セッケイ
裂け目,サケメ
刀瘢,トウハン
竜田姫,タツタヒメ
小書,ショウショ
マンガ,マンガ
活計,カッケイ
冗費,ジョウヒ
塩物,シオモノ
母上,ハハウエ
起きぬけ,オキヌケ
藹藹,アイアイ
歌手,カシュ
電力,デンリョク
当り役,アタリヤク
凍豆腐,コオリドウフ
ありったけ,アリッタケ
洋菓子,ヨウガシ
当て身,アテミ
おこ,オコ
形木,カタギ
オーケストラ,オーケストラ
クレヨン,クレヨン
油紙,ユシ
油紙,アブラガミ
歌まくら,ウタマクラ
摺り,スリ
家運,カウン
板金,バンキン
板金,イタガネ
風俗,フウゾク
公電,コウデン
デバッギング,デバッギング
ニホンカモシカ,ニホンカモシカ
アンプラグド,アンプラグド
一世一代,イッセイチダイ
風防,フウボウ
綴,ツヅリ
城下,ジョウカ
赤ら顔,アカラガオ
自閉症,ジヘイショウ
弓,ユミ
フロッピー,フロッピー
サクセス,サクセス
フロン,フロン
個利,コリ
煉物,ネリモノ
男優,ダンユウ
丁,ヒノト
丁,チョウ
ファジー,ファジー
諸侯,ショコウ
ミルクホール,ミルクホール
不行届き,フユキトドキ
やご,ヤゴ
サソリ,サソリ
後髪,ウシロガミ
十字砲火,ジュウジホウカ
同い年,オナイドシ
セッコク,セッコク
和子,ワコ
正々堂々,セイセイドウドウ
責め馬,セメウマ
枕辺,マクラベ
ドライクリーニング,ドライクリーニング
瑞雲,ズイウン
決めどころ,キメドコロ
夾侍,キョウジ
核保有,カクホユウ
峨々,ガガ
最果て,サイハテ
流矢,ナガレヤ
素絹,ソケン
売り抜け,ウリヌケ
会場,カイジョウ
路程,ロテイ
先安,サキヤス
フィクション,フィクション
呉汁,ゴジル
うど,ウド
弦楽,ゲンガク
経帷子,キョウカタビラ
サック,サック
怨み言,ウラミゴト
灯台もと暗し,トウダイモトクラシ
叛旗,ハンキ
商状,ショウジョウ
カーリング,カーリング
ブックディテクティヴ,ブックディテクティヴ
梛,ナギ
老若男女,ロウニャクナンニョ
花冠,カカン
木醋,モクサク
答辞,トウジ
ヤドリギ,ヤドリギ
うかんむり,ウカンムリ
東風,コチ
東風,トウフウ
東風,ヒガシカゼ
下水,ゲスイ
アラベスク,アラベスク
通常,ツウジョウ
あひる,アヒル
沙蚕,ゴカイ
ボタンザクラ,ボタンザクラ
三度笠,サンドガサ
持ち前,モチマエ
ガバディ,ガバディ
ハヤ,ハヤ
青人草,アヲヒトグサ
飛込み,トビコミ
ねずみ,ネズミ
防じん,ボウジン
ヘルニア,ヘルニア
去痰,キョタン
小酌,ショウシャク
幣帛,ヘイハク
撞木,シュモク
女ごころ,オンナゴコロ
落し胤,オトシダネ
先達て,センダッテ
鍋鶴,ナベヅル
だみ声,ダミゴエ
はち合わせ,ハチアワセ
露骨,ロコツ
塵払い,チリハライ
アイシング,アイシング
パートタイム,パートタイム
ゲストハウス,ゲストハウス
焼き,ヤキ
医,イ
狂涛,キョウトウ
船室,センシツ
一戸,イッコ
馬草,マグサ
尊公,ソンコウ
テントウムシダマシ,テントウムシダマシ
クォーテーション,クォーテーション
社屋,シャオク
ウェイター,ウェイター
世捨人,ヨステビト
熱雷,ネツライ
ぬるゆ,ヌルユ
勢,ゼイ
勢,イキオイ
スタッカ,スタッカ
天文台,テンモンダイ
玄翁,ゲンノウ
軍服,グンプク
行員,コウイン
藍染,アイゾメ
非対称,ヒタイショウ
無熱,ムネツ
陰毛,インモウ
雌牛,メウシ
符節,フセツ
切石,キリイシ
高弟,コウテイ
ファンク,ファンク
答案,トウアン
悠久,ユウキュウ
風通し,カゼトオシ
風通し,カザトオシ
栄え,ハエ
千羽鶴,センバヅル
玉子綴じ,タマゴトジ
凶悪,キョウアク
阿闍梨,アジャリ
漁港,ギョコウ
言説,ゲンセツ
イミテーション,イミテーション
蔬菜,ソサイ
脳震とう,ノウシントウ
川竹,カワタケ
皿廻し,サラマワシ
引放し,ヒキハナシ
蕎麦練り,ソバネリ
会所,カイショ
フレキシブル,フレキシブル
仮寓,カグウ
即身成仏,ソクシンジョウブツ
国界,コッカイ
シネサイン,シネサイン
トライアル,トライアル
隆盛,リュウセイ
電熱,デンネツ
ホトケノザ,ホトケノザ
浅茅,アサジ
格差,カクサ
栗色,クリイロ
幅走査,ハバソウサ
魚眼レンズ,ギョガンレンズ
開闢,カイビャク
ナルシシズム,ナルシシズム
ホルマリン,ホルマリン
ほほ笑み,ホホエミ
請暇,セイカ
さざえ,サザエ
ポッキー,ポッキー
ブッシェル,ブッシェル
霊歌,レイカ
たんぼ,タンボ
生木,ナマキ
ポリウレタン,ポリウレタン
魚探,ギョシン
詩情,シジョウ
胸痛,キョウツウ
システムプログラム,システムプログラム
突き当り,ツキアタリ
鶉,ウズラ
試薬,シヤク
キリン,キリン
正念,ショウネン
過ち,アヤマチ
雨降り,アメフリ
カヤ,カヤ
不平衝,フヘイコウ
傍線,ボウセン
飯炊き,メシタキ
相者,ソウシャ
