仕舞い,シマイ
二の酉,ニノトリ
急,キュウ
総譜,ソウフ
もろ手,モロテ
花だより,ハナダヨリ
地鼠,ジネズミ
シバエビ,シバエビ
ビューティー,ビューティー
一等星,イットウセイ
外戚,ガイセキ
全裸,ゼンラ
属国,ゾッコク
インデアン,インデアン
多聞天,タモンテン
介添,カイゾエ
オトギリソウ,オトギリソウ
魔障,マショウ
費目,ヒモク
分会,ブンカイ
シラン,シラン
酔漢,スイカン
口べた,クチベタ
迎え入れ,ムカエイレ
岡持,オカモチ
原題,ゲンダイ
お座,オザ
後人,コウジン
家名,カメイ
鳳みこし,オオトリミコシ
球戯,キュウギ
轟音,ゴウオン
ダブル,ダブル
お下げ,オサゲ
竜頭,リュウトウ
竜頭,リュウズ
手ほどき,テホドキ
日永,ヒナガ
用法,ヨウホウ
和尚,オショウ
和尚,ワジョウ
しょい上げ,ショイアゲ
ＤＢ,ディービー
実費,ジッピ
カナメモチ,カナメモチ
隠れ線,カクレセン
間着,アイギ
田舎道,イナカミチ
少将,ショウショウ
ティールーム,ティールーム
稲妻形,イナヅマガタ
書冊,ショサツ
神橋,シンキョウ
ユニバーサル,ユニバーサル
プロジェクター,プロジェクター
顔つなぎ,カオツナギ
虎視眈々,コシタンタン
肉襦袢,ニクジバン
茶飲み,チャノミ
ハッカセイ,ハッカセイ
妖雲,ヨウウン
人斬庖丁,ヒトキリボウチョウ
原寸,ゲンスン
コケ,コケ
新説,シンセツ
金品,キンピン
オーディエンス,オーディエンス
くろみ,クロミ
律,リツ
ウェット,ウェット
なまけもの,ナマケモノ
後釜,アトガマ
避病院,ヒビョウイン
海路,カイロ
海路,ウナジ
ガルバンゾ,ガルバンゾ
市況,シキョウ
陸続き,リクツヅキ
ウラジロ,ウラジロ
弁口,ベンコウ
うな丼,ウナドン
ウール,ウール
雲煙縹緲,ウンエンヒョウビョウ
ジャイアンツ,ジャイアンツ
侍史,ジシ
民政,ミンセイ
隊長,タイチョウ
宝鑑,ホウカン
癇癖,カンペキ
凡作,ボンサク
句点,クテン
一道,イチドウ
跨線橋,コセンキョウ
滑稽本,コッケイボン
名月,メイゲツ
盛事,セイジ
ご託宣,ゴタクセン
鼻糞,ハナクソ
べき算,ベキザン
知行,チギョウ
図嚢,ズノウ
大薩摩,オオザツマ
楽園,ラクエン
熊手,クマデ
同名,ドウメイ
ディーゼルエンジン,ディーゼルエンジン
指数,シスウ
人出,ヒトデ
投首,ナゲクビ
店屋,ミセヤ
人徳,ジントク
人徳,ニントク
臭素,シュウソ
名代,ナダイ
名代,ミョウダイ
オカチメンコ,オカチメンコ
篤行,トッコウ
高邁,コウマイ
三十六計,サンジュウロッケイ
壮士,ソウシ
白衣,ハクイ
白衣,ビャクエ
ＰＫ,ピーケイ
選び,エラビ
校規,コウキ
しん灸,シンキュウ
住所,ジュウショ
宝船,タカラブネ
灰吹,ハイフキ
分秒,フンビョウ
給金,キュウキン
悼み,イタミ
印半纏,シルシバンテン
翌々月,ヨクヨクゲツ
息災延命,ソクサイエンメイ
チョッキ,チョッキ
存生,ゾンジョウ
片付け,カタヅケ
皆掛,カイガケ
付差し,ツケザシ
大納言,ダイナゴン
沃素,ヨウソ
浮沈,フチン
嘆き死に,ナゲキジニ
斯学,シガク
郷土色,キョウドショク
肌襦袢,ハダジバン
大寒,ダイカン
由旬,ユジュン
湯熨,ユノシ
求心,キュウシン
前方,ゼンポウ
前方,マエカタ
送り,オクリ
磁路,ジロ
月後れ,ツキオクレ
貧民,ヒンミン
党務,トウム
文鳥,ブンチョウ
来賓,ライヒン
官公労,カンコウロウ
哀傷,アイショウ
学才,ガクサイ
城主,ジョウシュ
揚げ,アゲ
偏狭,ヘンキョウ
階級,カイキュウ
遠乗り,トオノリ
垂幕,タレマク
立ちあがり,タチアガリ
定足数,テイソクスウ
聖哲,セイテツ
胸倉,ムナグラ
ため池,タメイケ
取り出し,トリダシ
県花,ケンカ
マルク,マルク
綱具,ツナグ
売掛け,ウリカケ
略歴,リャクレキ
カッコ,カッコ
カンピョウ,カンピョウ
俗吏,ゾクリ
触れ合い,フレアイ
シャクトリムシ,シャクトリムシ
素襖,スオウ
グルタミン,グルタミン
メーンレース,メーンレース
痕,アト
護憲,ゴケン
細目,ホソメ
細目,サイモク
骨折り損,ホネオリゾン
原紙,ゲンシ
尊覧,ソンラン
頓証菩提,トンショウボダイ
紙切,カミキリ
田作,タヅクリ
口内,コウナイ
止,トメ
米価,ベイカ
二心,フタゴコロ
爪跡,ツメアト
ドア,ドア
スリークオーター,スリークオーター
コハダ,コハダ
蔀,シトミ
後患,コウカン
猛火,モウカ
坊主枕,ボウズマクラ
太刀魚,タチウオ
御灯,ミアカシ
軍勢,グンゼイ
支隊,シタイ
焚出し,タキダシ
羽尺,ハジャク
不相応,フソウオウ
ゲンコツ,ゲンコツ
轅,ナガエ
色魔,シキマ
替え,カエ
化繊,カセン
ロマンス,ロマンス
ジェット機,ジェットキ
小粒,コツブ
ハーフマラソン,ハーフマラソン
しょうにん,ショウニン
ＯＲ,オーアール
偉物,エラブツ
お湿り,オシメリ
玉案,ギョクアン
暗紅,アンコウ
部族,ブゾク
無表情,ムヒョウジョウ
つま先,ツマサキ
アナ場,アナバ
中有,チュウウ
ほお骨,ホオボネ
ヒロイン,ヒロイン
ストレッチ,ストレッチ
身八つ,ミヤツ
上包み,ウワヅツミ
同職,ドウショク
いぐち,イグチ
祝祭日,シュクサイジツ
ホワイトボックス,ホワイトボックス
ニンジン,ニンジン
有能,ユウノウ
排日,ハイニチ
片口,カタクチ
老侯,ロウコウ
ＴＫＯ,ティーケイオー
コモ,コモ
踪跡,ソウセキ
正堂,セイドウ
添景,テンケイ
向上心,コウジョウシン
一面,イチメン
独り呑み込み,ヒトリノミコミ
大和島根,ヤマトシマネ
使徒,シト
親分,オヤブン
糸状,イトジョウ
釜飯,カマメシ
諸姉,ショシ
輪形,リンケイ
ヨジウム,ヨジウム
ノルウェークローネ,ノルウェークローネ
逆さ睫,サカサマツゲ
口中,クチジュウ
アドレスレジスタ,アドレスレジスタ
鯖読み,サバヨミ
情夫,ジョウフ
カチョ～,カチョー
網アクセス,モウアクセス
人身御供,ヒトミゴクウ
ウイルス,ウイルス
ガラス,ガラス
五臓,ゴゾウ
文系,ブンケイ
魚鱗,ギョリン
訪販,ホウハン
隆祥,リュウショウ
死斑,シハン
蕭然,ショウゼン
粗砥,アラト
両親,リョウシン
雷公,ライコウ
とろみ,トロミ
捏取,コネドリ
泊まり掛け,トマリガケ
シンクロ,シンクロ
遺作,イサク
津,ツ
論功行賞,ロンコウコウショウ
押し切り帳,オシキリチョウ
門跡,モンゼキ
忠心,チュウシン
近廻り,チカマワリ
石蓴,アオサ
冥罰,ミョウバツ
踊り子草,オドリコソウ
あんぱん,アンパン
趣向,シュコウ
大立ち回り,オオタチマワリ
おちゃっぴい,オチャッピイ
羽交,ハガイ
親族,シンゾク
バンザイ,バンザイ
心張り,シンバリ
ランゲージボード,ランゲージボード
季,キ
白球,ハッキュウ
秘宝,ヒホウ
露店,ロテン
整数,セイスウ
賎業,センギョウ
等身,トウシン
取舵,トリカジ
寺侍,テラザムライ
ストーム,ストーム
触媒,ショクバイ
博聞,ハクブン
キャラコ,キャラコ
本則,ホンソク
百尺竿頭,ヒャクシャクカントウ
黍,キビ
サオ,サオ
不正規,フセイキ
胡麻塩,ゴマシオ
凡俗,ボンゾク
御膳汁粉,ゴゼンジルコ
いの一番,イノイチバン
こんぺいとう,コンペイトウ
色目,イロメ
嬲りもの,ナブリモノ
耕運機,コウウンキ
玉,タマ
玉,ギョク
物情,ブツジョウ
威勢,イセイ
目潰し,メツブシ
手柄顔,テガラガオ
皮膚,ヒフ
干物,ホシモノ
干物,ヒモノ
明証,メイショウ
対極,タイキョク
氷まくら,コオリマクラ
庶政,ショセイ
民話,ミンワ
聖業,セイギョウ
水蘚,ミズゴケ
学徒,ガクト
壇,ダン
和戦,ワセン
領,リョウ
紙花,カミバナ
湯漬,ユヅケ
塗立,ヌリタテ
真先,マッサキ
タイム,タイム
掛け字,カケジ
バブルメモリ,バブルメモリ
尋ね人,タズネビト
やぶさか,ヤブサカ
霧雨,キリサメ
弔い,トムライ
白茶,シラチャ
ボーナス,ボーナス
天意,テンイ
張り出し,ハリダシ
みこ,ミコ
取口,トリクチ
アナクロニズム,アナクロニズム
ドンドコ,ドンドコ
廃寺,ハイジ
権妻,ゴンサイ
桜海老,サクラエビ
痩せぎす,ヤセギス
牧羊神,ボクヨウジン
イオンエンジン,イオンエンジン
労役,ロウエキ
重罪,ジュウザイ
煮焼き,ニヤキ
酢豚,スブタ
濡場,ヌレバ
守成,シュセイ
押し花,オシバナ
クラゲ,クラゲ
険相,ケンソウ
キツネ,キツネ
三界,サンガイ
蒼空,ソウクウ
五穀,ゴコク
万障,バンショウ
女医,ジョイ
モル,モル
霜枯れどき,シモガレドキ
持久走,ジキュウソウ
壮健,ソウケン
浅薄,センバク
老酒,ロウシュ
老酒,ラオチュウ
駅売り,エキウリ
豊年,ホウネン
老人,ロウジン
砂船,スナブネ
お出で,オイデ
葉桜,ハザクラ
アリヅカ,アリヅカ
和布,ワカメ
砂川,スナガワ
船繰り,フナグリ
片鱗,ヘンリン
ボランティア,ボランティア
持場,モチバ
手毬,テマリ
隆隆,リュウリュウ
憲兵,ケンペイ
一本槍,イッポンヤリ
紺がすり,コンガスリ
左内側,ヒダリウチガワ
吹き溜まり,フキダマリ
麻裏,アサウラ
札止め,フダドメ
ブイ,ブイ
哺乳類,ホニュウルイ
ミリバール,ミリバール
赤切符,アカギップ
巍然,ギゼン
食糧,ショクリョウ
懇話,コンワ
賃仕事,チンシゴト
狂言まわし,キョウゲンマワシ
後詰,ゴヅメ
サンゴジュ,サンゴジュ
多,タ
呉越同舟,ゴエツドウシュウ
いちじく,イチジク
大和琴,ヤマトゴト
有夫,ユウフ
エラーコード,エラーコード
八方破れ,ハッポウヤブレ
千歳一遇,センザイイチグウ
前祝,マエイワイ
春雪,シュンセツ
プライド,プライド
涼,リョウ
窮民,キュウミン
鉄面皮,テツメンピ
バックル,バックル
別件,ベッケン
官能,カンノウ
だいだらぼっち,ダイダラボッチ
始端部,シタンブ
諸彦,ショゲン
コックピット,コックピット
県知事,ケンチジ
可視,カシ
マリオネット,マリオネット
水準,スイジュン
左目,ヒダリメ
詩劇,シゲキ
四等官,シトウカン
地銀,チギン
押絵,オシエ
前代未聞,ゼンダイミモン
不可逆,フキャガク
現御神,アキツミカミ
ベンチャー,ベンチャー
御用,ゴヨウ
万事,バンジ
置換え,オキカエ
殿さま,トノサマ
界雷,カイライ
単調,タンチョウ
聖霊,セイレイ
レッカー車,レッカーシャ
高批,コウヒ
紙器,シキ
肚裏,トリ
帳じり,チョウジリ
承知之助,ショウチノスケ
ダイナモ,ダイナモ
注油,サシアブラ
音譜,オンプ
メロン,メロン
山あい,ヤマアイ
ぐるり,グルリ
腸へいそく,チョウヘイソク
薬学,ヤクガク
コンベンションホール,コンベンションホール
渡り稼ぎ,ワタリカセギ
式年,シキネン
鴛鴦,エンオウ
鴛鴦,オシ
鴛鴦,オシドリ
人参,ニンジン
節分,セツブン
権道,ケンドウ
冬篭り,フユゴモリ
本数,ホンスウ
昼夜,チュウヤ
野犬,ヤケン
ぶ然,ブゼン
揺りかご,ユリカゴ
カサ,カサ
手違い,テチガイ
火水,ヒミズ
洗浄液,センジョウエキ
里帰り,サトガエリ
不祥,フショウ
地搗き,ジツキ
コンテンツ,コンテンツ
徳,トク
正数,セイスウ
性格,セイカク
気味,キミ
尼寺,アマデラ
怖気,オジケ
怖気,オゾケ
鼻柱,ハナバシラ
蓄妾,チクショウ
ウキブクロ,ウキブクロ
山骨,サンコツ
あえ物,アエモノ
グラフィックス,グラフィックス
しり抜け,シリヌケ
木醂,キザワシ
表札,ヒョウサツ
外字紙,ガイジシ
真鯉,マゴイ
葛,クズ
葛,カズラ
しゅう球,シュウキュウ
ドーナツ,ドーナツ
飲ん兵衛,ノンベエ
膀胱,ボウコウ
蛍雪,ケイセツ
しら,シラ
カタツムリ,カタツムリ
掴み所,ツカミドコロ
諸説,ショセツ
列火,レッカ
木こり,キコリ
素案,ソアン
スループット,スループット
デバッガ,デバッガ
風景,フウケイ
粉米,コゴメ
運針縫い,ウンシンヌイ
剣豪,ケンゴウ
沫雪,アワユキ
文典,ブンテン
鸚哥,インコ
瓶詰,ビンヅメ
壮途,ソウト
埋込み,ウメコミ
薄利,ハクリ
円光,エンコウ
グルント,グルント
報徳,ホウトク
付根,ツケネ
炭酸,タンサン
魚梯,ギョテイ
あおうま,アオウマ
残生,ザンセイ
水責め,ミズゼメ
石版,セキバン
特金,トッキン
非人,ヒニン
雷名,ライメイ
現尺,ゲンシャク
火の見,ヒノミ
万夫,バンプ
金比羅,コンピラ
牛蒡,ゴボウ
僧侶,ソウリョ
ＭＩＳ,エムアイエス
立ち木,タチギ
みずら,ミズラ
通気,ツウキ
警め,イマシメ
学童,ガクドウ
決選,ケッセン
乳牛,ニュウギュウ
小きざみ,コキザミ
胡麻油,ゴマアブラ
十六武蔵,ジュウロクムサシ
歌枕,ウタマクラ
雄勁,ユウケイ
ガンライコウ,ガンライコウ
歴戦,レキセン
牝,メス
肋骨,ロッコツ
肋骨,アバラボネ
鳥網,トリアミ
先約,センヤク
パターンマッチング,パターンマッチング
セクタ,セクタ
石けん,セッケン
隅々,スミズミ
パラス,パラス
へん,ヘン
鶏舎,ケイシャ
布団,フトン
国歌,コッカ
薄物,ウスモノ
三児,ミツゴ
井桁,イゲタ
吾木香,ワレモコウ
お払い物,オハライモノ
地衣,チイ
雲烟過眼,ウンエンカガン
学長,ガクチョウ
風土病,フウドビョウ
アミロース,アミロース
ポイント,ポイント
遠山里,トオヤマザト
端綱,ハヅナ
美点,ビテン
平底,ヒラゾコ
銃剣,ジュウケン
半搗,ハンツキ
レジ,レジ
念頭,ネントウ
パッチエリア,パッチエリア
ごみ箱,ゴミバコ
雑魚,ジャコ
雑魚,ザコ
籾殻,モミガラ
むら役,ムラヤク
用例,ヨウレイ
ウジムシ,ウジムシ
本訴,ホンソ
後代,コウダイ
きき酒,キキザケ
知恵者,チエシャ
月あかり,ツキアカリ
群,グン
群,ムレ
個々人,ココジン
買い替え,カイカエ
山の芋,ヤマノイモ
入替え,イレカエ
斉射,セイシャ
肩ごし,カタゴシ
曲調,キョクチョウ
気力,キリョク
如才,ジョサイ
実際,ジッサイ
目溢し,メコボシ
尋ね物,タズネモノ
思案投げ首,シアンナゲクビ
ヨウジュ,ヨウジュ
刑罰,ケイバツ
いかり肩,イカリガタ
域,イキ
四半期,シハンキ
絵暦,エゴヨミ
さよなら,サヨナラ
簀巻き,スマキ
小癪,コシャク
読心術,ドクシンジュツ
郷関,キョウカン
殷盛,インセイ
君子蘭,クンシラン
破線,ハセン
若僧,ワカゾウ
第一線,ダイイッセン
ドライバー,ドライバー
貸し出し,カシダシ
印判,インバン
声,コエ
養父母,ヨウフボ
たずね物,タズネモノ
ウンカ,ウンカ
恩賞,オンショウ
イントロダクション,イントロダクション
清鑑,セイカン
束脩,ソクシュウ
構内,コウナイ
鱈の子,タラノコ
盛り場,サカリバ
バイナリ,バイナリ
草臥儲,クタビレモウケ
天蓋,テンガイ
荒土,コウド
記念樹,キネンジュ
モデルハウス,モデルハウス
当座しのぎ,トウザシノギ
度量,ドリョウ
エスニック,エスニック
クマバチ,クマバチ
テレビ塔,テレビトウ
半ら半尺,ナカラハンジャク
奇々怪々,キキカイカイ
ブラックホール,ブラックホール
円形,エンケイ
礼帽,レイボウ
仕打,シウチ
泥足,ドロアシ
年令,ネンレイ
雇い主,ヤトイヌシ
参勤交代,サンキンコウタイ
山賊,サンゾク
値引き数,アタイヒキスウ
天真,テンシン
風勢,フウセイ
繰返し項目,クリカエシコウモク
鴨脚形,イチョウガタ
ベビーベッド,ベビーベッド
シミュレーター,シミュレーター
イクイップメント,イクイップメント
民主,ミンシュ
額面割れ,ガクメンワレ
エッセイスト,エッセイスト
欣欣,キンキン
掃立て,ハキタテ
ドジョウ,ドジョウ
国訓,コックン
きゅう,キュウ
タンク,タンク
尾大,ビダイ
鼻つまみ,ハナツマミ
噸,トン
北東,ホクトウ
図案,ズアン
かながしら,カナガシラ
オフィスコンピュータ,オフィスコンピュータ
分陰,フンイン
覇王,ハオウ
ネガチブ,ネガチブ
紅蓮の炎,グレンノホノオ
盛り込み,モリコミ
佳作,カサク
ストローブパルス,ストローブパルス
神経症,シンケイショウ
大鉈,オオナタ
掛茶屋,カケヂャヤ
宮刑,キュウケイ
定昇,テイショウ
はし,ハシ
頚骨,ケイコツ
躙口,ニジリグチ
祝捷,シュクショウ
仏滅,ブツメツ
縫いぐるみ,ヌイグルミ
シラブルリーダ,シラブルリーダ
斗掻,トカキ
夜鶴,ヤカク
廃鉱,ハイコウ
糅,カテ
湿しん,シッシン
猟,リョウ
猟,カリ
詩語,シゴ
オイスター,オイスター
イチョウ,イチョウ
身振り,ミブリ
笑話,ショウワ
死物,シブツ
衣笠,キヌガサ
坑夫,コウフ
花落,ハナオチ
尻切れ草履,シリキレゾウリ
お早う,オハヨウ
ばらつき,バラツキ
故知,コチ
首実検,クビジッケン
ノーベリウム,ノーベリウム
人まかせ,ヒトマカセ
狂疾,キョウシツ
ざこ,ザコ
扇状地,センジョウチ
在処,アリカ
不感症,フカンショウ
小欲,ショウヨク
朝焼け,アサヤケ
正目,ショウメ
正目,マサメ
学卒,ガクソツ
連翹,レンギョウ
野袴,ノバカマ
単安定,タンアンテイ
同数,ドウスウ
ばか,バカ
大意,タイイ
師家,シカ
師家,シケ
袢纏,ハンテン
公職,コウショク
鎖鎌,クサリガマ
安め,ヤスメ
ショールーム,ショールーム
絵画,カイガ
サミット,サミット
艶聞,エンブン
軍陣,グンジン
胴乱,ドウラン
ツギキ,ツギキ
印象,インショウ
山肌,ヤマハダ
霊きゅう,レイキュウ
ガイチョウ,ガイチョウ
楽曲,ガッキョク
前下り,マエサガリ
アーチ,アーチ
政審,セイシン
胃酸過多症,イサンカタショウ
音速,オンソク
リファインメント,リファインメント
焼き絵,ヤキエ
虚名,キョメイ
胸,ムネ
油断大敵,ユダンタイテキ
冷房,レイボウ
急斜面,キュウシャメン
面皮,メンピ
万葉,マンヨウ
前向き,マエムキ
新聞,シンブン
拙策,セッサク
消印,ケシイン
ミヤコワスレ,ミヤコワスレ
清閑,セイカン
騒客,ソウカク
騒客,ソウキャク
東遊,アズマアソビ
遅払い,チハライ
窓際,マドギワ
リレーション,リレーション
はけ,ハケ
綺麗所,キレイドコロ
混在形,コンザイケイ
たみぐさ,タミグサ
ソフトドリンク,ソフトドリンク
内縁,ナイエン
おなご,オナゴ
かばん,カバン
挟撃ち,ハサミウチ
霧中,ムチュウ
易損品,イソンヒン
ライバル,ライバル
人足,ニンソク
人足,ヒトアシ
定論,テイロン
驕り,オゴリ
拾屋,ヒロイヤ
ジョロウグモ,ジョロウグモ
かなり,カナリ
ウーマン,ウーマン
一つ覚え,ヒトツオボエ
物づくし,モノヅクシ
スト,スト
近因,キンイン
背抜き,セヌキ
ひと息,ヒトイキ
ＯＬ,オーエル
新形,シンガタ
安楽いす,アンラクイス
ライフライン,ライフライン
ヘッドホン,ヘッドホン
瓢,ヒサゴ
センサー,センサー
藁紙,ワラガミ
皓皓,コウコウ
純系,ジュンケイ
六体,リクタイ
呱呱,ココ
野選,ヤセン
宿縁,シュクエン
浮巣,ウキス
釣り合,ツリアイ
慈雨,ジウ
不品行,フヒンコウ
ルンバ,ルンバ
インタプリティブ,インタプリティブ
大損,オオゾン
三羽がらす,サンバガラス
バンパイヤ,バンパイヤ
両船,リョウセン
脅威,キョウイ
冬,フユ
取り壊し,トリコワシ
内内,ウチウチ
仏土,ブツド
藜,アカザ
博打打ち,バクチウチ
下戸,ゲコ
どうぜん,ドウゼン
不動明王,フドウミョウオウ
勲章,クンショウ
トルコ玉,トルコダマ
フェッチサイクル,フェッチサイクル
おしめ,オシメ
忌い,キイ
沸騰水,フットウスイ
ブラインド,ブラインド
へき地,ヘキチ
内輪もめ,ウチワモメ
初任,ショニン
存亡,ソンボウ
とうしろ,トウシロ
一面識,イチメンシキ
指命,シメイ
茶だんす,チャダンス
定職,テイショク
首長,シュチョウ
血路,ケツロ
ユートピアン,ユートピアン
アタッシュケース,アタッシュケース
和銅,ワドウ
ショーツ,ショーツ
ドル,ドル
帯刀御免,タイトウゴメン
口頭,コウトウ
弱点,ジャクテン
柳行李,ヤナギゴウリ
火打,ヒウチ
借金取り,シャッキントリ
両機,リョウキ
飲み込み,ノミコミ
散米,サンマイ
オフレコ,オフレコ
米所,コメドコロ
一殺多生,イッサツタショウ
粕汁,カスジル
軽口,カルクチ
こうき,コウキ
イモムシ,イモムシ
くじゅう,クジュウ
印譜,インプ
到来物,トウライモノ
ソロ,ソロ
古文書,コモンジョ
類書,ルイショ
ヒャクニチソウ,ヒャクニチソウ
最小,サイショウ
壻,ムコ
語末,ゴマツ
両派,リョウハ
高股,タカモモ
足慣し,アシナラシ
第一人者,ダイイチニンシャ
橋詰,ハシヅメ
恭賀新年,キョウガシンネン
市区,シク
同位,ドウイ
僧坊,ソウボウ
金柑,キンカン
切炭,キリズミ
零交差波,レイコウサハ
牛蒡抜き,ゴボウヌキ
正則,セイソク
よそもん,ヨソモン
腹づもり,ハラヅモリ
材質,ザイシツ
知能指数,チノウシスウ
キューブ,キューブ
政府,セイフ
外洋,ガイヨウ
我国,ワガクニ
贅六,ゼイロク
博聞強記,ハクブンキョウキ
渋団扇,シブウチワ
足袋跣,タビハダシ
拗音,ヨウオン
軍装,グンソウ
エステティシャン,エステティシャン
暴利,ボウリ
金隠し,キンカクシ
官記,カンキ
先住民,センジュウミン
原初,ゲンショ
二刀流,ニトウリュウ
死屍,シシ
生い立ち,オイタチ
寸莎,スサ
業病,ゴウビョウ
カフエー,カフエー
塾頭,ジュクトウ
盲学校,モウガッコウ
梯子,ハシゴ
謝金,シャキン
会舘,カイカン
酷,コク
割書き,ワリガキ
評伝,ヒョウデン
狐付き,キツネツキ
まどい,マドイ
ジョウリョク,ジョウリョク
データコード,データコード
紋様,モンヨウ
ごね得,ゴネドク
レタリング,レタリング
メディアスコープ,メディアスコープ
存意,ゾンイ
火吹き竹,ヒフキダケ
富くじ,トミクジ
回虫,カイチュウ
素意,ソイ
自棄,ヤケ
小玉,コダマ
法統,ホウトウ
諸政,ショセイ
漢土,カンド
スリラー,スリラー
矢庭,ヤニワ
借り出し,カリダシ
平板,ヘイバン
嬶天下,カカアデンカ
あて字,アテジ
人当り,ヒトアタリ
アカチン,アカチン
エルグ,エルグ
洋画,ヨウガ
合いびき,アイビキ
素っ裸,スッパダカ
ジオプトリー,ジオプトリー
水油,ミズアブラ
行平,ユキヒラ
さら湯,サラユ
インチキ,インチキ
穴痔,アナジ
商法,ショウホウ
取っ組み合い,トックミアイ
金蔓,カネヅル
僻事,ヒガゴト
真行草,シンギョウソウ
独禁法,ドッキンホウ
鼻綱,ハナヅナ
縞目,シマメ
プライバシロック,プライバシロック
目的,モクテキ
独り旅,ヒトリタビ
胡麻あえ,ゴマアエ
風除け,カザヨケ
単解,タンカイ
音韻,オンイン
丸ぼうず,マルボウズ
太陽暦,タイヨウレキ
可否,カヒ
断碑,ダンピ
蘆,アシ
蘆,ヨシ
尖頂,センチョウ
乾癬,カンセン
区立,クリツ
平曲,ヘイキョク
命運,メイウン
口写し,クチウツシ
夏作,ナツサク
人員,ジンイン
旨味,ウマミ
赤間石,アカマイシ
アノフェレス,アノフェレス
満天,マンテン
薄型,ウスガタ
胃酸,イサン
活,カツ
絹糸せん,ケンシセン
ＧＤＰ,ジーディーピー
シーケンストラッキング,シーケンストラッキング
行止り,ユキドマリ
行止り,イキドマリ
箱船,ハコブネ
クランケ,クランケ
良工,リョウコウ
皐,サツキ
高庇,コウヒ
白夜,ビャクヤ
白夜,ハクヤ
大雪,オオユキ
大雪,タイセツ
激甚,ゲキジン
暖炉,ダンロ
ロングラン,ロングラン
斉一,セイイツ
振舞い,フルマイ
頭寒足熱,ズカンソクネツ
深浅,シンセン
側壁,ソクヘキ
因果応報,インガオウホウ
罪跡,ザイセキ
理系,リケイ
烏麦,カラスムギ
レトロウイルス,レトロウイルス
叩き台,タタキダイ
珍,チン
二本棒,ニホンボウ
蕎麦滓,ソバカス
ヨジウムチンキ,ヨジウムチンキ
モスク,モスク
レイオフ,レイオフ
文面,ブンメン
トリック,トリック
ガウン,ガウン
文段,ブンダン
ロックコンサート,ロックコンサート
鈍刀,ドントウ
水圏,スイケン
カルカヤ,カルカヤ
大義,タイギ
入管,ニュウカン
ホーミング,ホーミング
工廠,コウショウ
文無し,モンナシ
洋名,ヨウメイ
盲人,モウジン
銭,ゼニ
残高,ザンダカ
一安心,ヒトアンシン
染め型,ソメガタ
物忌,モノイミ
明き間,アキマ
バージン,バージン
むつき,ムツキ
為政者,イセイシャ
主賓,シュヒン
揺れ,ユレ
キャッツアイ,キャッツアイ
月琴,ゲッキン
潸々,サンサン
しじま,シジマ
歌留多,カルタ
どんぶり,ドンブリ
ヤマ場,ヤマバ
付則,フソク
才物,サイブツ
乱文,ランブン
極上,ゴクジョウ
攻太鼓,セメダイコ
グリルガード,グリルガード
メモリー,メモリー
希世,キセイ
ハムスター,ハムスター
口げんか,クチゲンカ
松林,マツバヤシ
宿許,ヤドモト
スパイク,スパイク
ところてん,トコロテン
白壁,シラカベ
悔し泣き,クヤシナキ
光臨,コウリン
書付け,カキツケ
朝明け,アサアケ
帝,テイ
帝,ミカド
領民,リョウミン
虚妄,キョモウ
命題,メイダイ
樹冠,ジュカン
嘗味噌,ナメミソ
空電,クウデン
殉難,ジュンナン
近親,キンシン
鍾馗,ショウキ
唐黍,モロコシ
唐黍,トウキビ
ギロチン,ギロチン
国訛,クニナマリ
棹秤,サオバカリ
遠心分離機,エンシンブンリキ
忘年,ボウネン
貴賓,キヒン
腰,コシ
従容,ショウヨウ
洪積世,コウセキセイ
センダン,センダン
不可視,フカシ
拙戦,セッセン
小梅,コウメ
横並び,ヨコナラビ
触れ込み,フレコミ
季語,キゴ
長め,ナガメ
オッサン,オッサン
潮汲み,シオクミ
鍛工,タンコウ
企業,キギョウ
引きつけ,ヒキツケ
みやこ忘れ,ミヤコワスレ
頚筋,クビスジ
著大,チョダイ
座胼胝,スワリダコ
素材,ソザイ
導体,ドウタイ
仕法,シホウ
神罰,シンバツ
プラトニウム,プラトニウム
出ずっぱり,デズッパリ
立法,リッポウ
櫓太鼓,ヤグラダイコ
逆叉,サカマタ
調子,チョウシ
一わたり,ヒトワタリ
真草,シンソウ
割り増し,ワリマシ
多目,タモク
ハンカチ,ハンカチ
罫紙,ケイシ
ナフキン,ナフキン
サヨリ,サヨリ
肉刺,マメ
美徳,ビトク
借款,シャッカン
コンモンセンス,コンモンセンス
水さし,ミズサシ
ペーパー,ペーパー
火消壷,ヒケシツボ
官職,カンショク
いぼ,イボ
ポップコーン,ポップコーン
ＯＡ,オーエイ
尖鋭,センエイ
縄張,ナワバリ
目笊,メザル
杉形,スギナリ
口まね,クチマネ
図様,ズヨウ
眠気覚し,ネムケザマシ
デッドボール,デッドボール
主筋,シュウスジ
正教,セイキョウ
干草,ホシクサ
播付け,マキツケ
縦形,タテガタ
不仲,フナカ
頼み,タノミ
打順,ダジュン
しょうい,ショウイ
竜の落し子,タツノオトシゴ
法体,ホッタイ
法体,ホウタイ
道産,ドウサン
恭倹,キョウケン
使い方,ツカイカタ
掛目,カケメ
軸承,ジクウケ
笑い物,ワライモノ
書き下し文,カキクダシブン
上がり口,アガリグチ
コムギ,コムギ
暴慢,ボウマン
御悩,ゴノウ
牧人,ボクジン
